baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_0211000	46.3743831703328	-3.5534523221536	0.58661363625397	-6.05756856394514	1.38194444772862e-09	3.46784070805713e-08
PF3D7_0218800	47.4381481698913	-3.13234641329902	0.530358928659079	-5.90608782851761	3.5032725390294e-09	8.03629488498563e-08
PF3D7_0301900	13.16090583352	-2.98866078348772	0.936108779526516	-3.19264261681146	0.00140977308522631	0.00797408387683425
PF3D7_0605100	276.356322394288	-2.89804208815103	0.311256380871141	-9.31078771795785	1.26887760090323e-20	1.5166426482375e-18
PF3D7_0622000	37.9738275967478	-2.89543584062306	0.612705642341419	-4.72565558488791	2.29374133759103e-06	2.95132384003923e-05
mal_mito_1	45.8696199566656	-2.69186555198667	0.545821942729395	-4.93176499743843	8.14899198386737e-07	1.14946340343868e-05
PF3D7_0918400	95.7636831857152	-2.69117488616157	0.419355410620473	-6.41740828425162	1.38613815171562e-10	4.28976586163965e-09
PF3D7_0221800	16.4734125730203	-2.68318766231656	0.818856667014015	-3.27674887486828	0.00105009721398842	0.00627571256044131
PF3D7_0811800	19.1953213592249	-2.62841950827564	0.764179118445341	-3.43953327803951	0.000582718139560875	0.0038136971035814
PF3D7_1318200	20.7793303649289	-2.62355919488634	0.818959186837398	-3.20352862151511	0.00135754545508173	0.00772678127441256
PF3D7_0417700	19.4169609554548	-2.49448433612399	0.737033100090858	-3.38449431350707	0.000713094960246771	0.00452357166123022
PF3D7_0420500	22.2998574338175	-2.48878451538523	0.734015823839752	-3.39064150193113	0.000697292477463982	0.00446777426287717
PF3D7_0718700	38.2791083239234	-2.47646986461921	0.542858545924677	-4.56190638097245	5.06912500845846e-06	5.91875727208697e-05
PF3D7_0919500	46.4264199790241	-2.43805783195944	0.586279094500349	-4.15852766170565	3.20305450039139e-05	0.000310197730080548
PF3D7_1471500	70.3017051738027	-2.42827440425689	0.522462032073544	-4.64775286085301	3.35570614965007e-06	4.15262306010092e-05
PF3D7_1346700	30.5629929035263	-2.41712870351392	0.644750339166068	-3.74893746723776	0.000177585353943566	0.00137175625444163
PF3D7_1346600	42.1780096814561	-2.37054401668987	0.522500816010197	-4.53691926223442	5.70819468325674e-06	6.58036046988633e-05
